,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,Lat,Lng,Google Addresses,Postal Codes,Cluster
982,CASUAL DINING,Casa Barcelona,3.4,59,"Bloor Street West, Etobicoke","2980 Bloor Street West, Etobicoke M8X 1B9",Spanish,60,43.64791169999999,-79.50963639999998,"2980 Bloor St W, Etobicoke, ON M8X 1B9, Canada",M8X,8
983,CASUAL DINING,Richmond Court Restaurant,3.7,55,"York Regional Road 7, Richmond Hill","Times Square, 550 Highway 7 East, Richmond Hill",Hong Kong Style,30,43.8449491,-79.38351180000001,"Times Square, 550 Hwy 7, Richmond Hill, ON L4B 3Z4, Canada",L4B,8
984,CASUAL DINING,L'Espresso Bar Mercurio,3.5,72,"Bloor Street West, The Annex","321 Bloor Street West, Toronto M5S 1S5","European, Cafe",50,43.6674139,-79.3992146,"321 Bloor St W, Toronto, ON M5S 1S5, Canada",M5S,8
985,BAR,The Mugshot Tavern,4.1,61,"Bloor Street West, West Bend","1729 Bloor Street West, Toronto M6P 1B2",Bar Food,50,43.65454769999999,-79.45959930000001,"1729 Bloor St W, Toronto, ON M6P 1B2, Canada",M6P,7
986,CASUAL DINING,Patrician Grill,4.0,67,"King Street East, St. Lawrence","219 King Street East, Toronto","Canadian, Diner",40,43.6509842,-79.3690271,"219 King St E, Toronto, ON M5A 1J9, Canada",M5A,9
987,CASUAL DINING,Anjappar Chettinad,3.7,62,"3091 Eglinton Av East, Scarborough","3090 Eglinton Avenue E, Scarborough M1J 2H1",South Indian,40,43.7417289,-79.22691970000001,"3090 Eglinton Ave E, Scarborough, ON M1J 2H1, Canada",M1J,8
988,CASUAL DINING,Melody Bar - Gladstone Hotel,3.8,72,"Queen Street West, Liberty Village","Gladstone Hotel, 1214 Queen Street West, Toronto M6J 1J6",Bar Food,55,43.642697999999996,-79.426906,"1214 Queen St W, Toronto, ON M6J 1J6, Canada",M6J,7
989,CASUAL DINING,Montfort Grill House,4.0,99,"Brant Street, Burlington","796 Brant Street, Burlington","Mediterranean, Middle Eastern",45,43.33360829999999,-79.8101944,"796 Brant St, Burlington, ON L7R 2J2, Canada",L7R,8
990,QUICK BITES,Classico Louie's Pizzeria,4.1,61,"Yonge Street, Yonge & Eglinton","2549 Yonge Street, Toronto M4P 2H9","Pizza, Italian",35,43.713291600000005,-79.399455,"2549 Yonge St, Toronto, ON M4P 2H9, Canada",M4P,5
991,CASUAL DINING,Piatto Ristorante,3.9,53,"Dundas Street West, Mississauga","1646 Dundas Street West, Mississauga L5C 1E6",Italian,65,43.5443025,-79.6548155,"1646 Dundas St W, Mississauga, ON L5C 1E6, Canada",L5C,1
992,CASUAL DINING,Mezzetta,3.7,61,"Saint Clair Avenue West, Hillcrest","681 St. Clair Avenue West, Toronto","Middle Eastern, Mediterranean",45,43.6815479,-79.42533359999999,"681 St Clair Ave W, Toronto, ON M6C 1A7, Canada",M6C,8
993,CASUAL DINING,Via Cibo,3.9,47,"York Mills Road, North York","808 York Mills Road, North York M3B 1X8",Italian,40,43.754117799999996,-79.3579634,"808 York Mills Rd, North York, ON M3B 1X8, Canada",M3B,1
994,BAR,Lou Dawg's,3.4,40,"Gerrard Street East, Garden District","76 Gerrard Street East, Toronto M5G 2A7","BBQ, Southern, American, Bar Food",40,43.660188899999994,-79.37821129999998,"76 Gerrard St E, Toronto, ON M5B 1G6, Canada",M5B,14
995,QUICK BITES,Kookoo's Kitchen,3.6,54,"Rutherford Shopping Centre, Woodbridge","Rutherford Shopping Centre, 5100 Rutherford Road, Vaughan L4H 2J2","Fish and Chips, Grill",25,43.8173234,-79.60212899999998,"5100 Rutherford Rd, Woodbridge, ON L4H 2J2, Canada",L4H,8
996,CASUAL DINING,Pappas Grill,3.2,60,"Danforth Avenue, The Danforth","440 Danforth Avenue, Toronto M4K 1P4",Greek,60,43.6780657,-79.35064349999998,"440 Danforth Ave, Toronto, ON M4K 1P4, Canada",M4K,8
997,CASUAL DINING,Bâton Rouge Steakhouse & Bar,3.8,86,"2 Auto Park Circle, Woodbridge",7520 Weston Road Vaughan L4L 9L9,"Steak, American",100,43.786103499999996,-79.5487713,"7520 Weston Rd, Woodbridge, ON L4L 9L9, Canada",L4L,8
998,CASUAL DINING,Osaka Sushi,4.0,52,"5762 Hwy 7, Markham","5762 Highway 7 East, Markham","Sushi, Japanese, Asian",35,43.8724111,-79.26669790000003,"5762 Hwy 7, Markham, ON L3P 1A8, Canada",L3P,4
999,CASUAL DINING,The Bedford Academy,3.8,72,"Prince Arthur Avenue, The Annex","36 Prince Arthur Avenue, Toronto M5R 1A9","Bar Food, Canadian",60,43.6696058,-79.397329,"36 Prince Arthur Ave, Toronto, ON M5R 1A9, Canada",M5R,7
1000,CASUAL DINING,Bazara,3.8,42,"Ossington Avenue, Beaconsfield Village","188 Ossington Avenue, Toronto M6J 2Z7","Sushi, Japanese, Asian",65,43.6485051,-79.420684,"188 Ossington Ave, Toronto, ON M6J 2Z7, Canada",M6J,4
1001,CASUAL DINING,Sul Irmaos Smoke House,3.8,47,Brampton,"73 George St South, Brampton L6Y 1P4","Sandwich, Southern",45,43.68422899999999,-79.7598113,"73 George St S, Brampton, ON L6Y 1P4, Canada",L6Y,8
1002,CASUAL DINING,Pulcinella,3.8,67,"Lake Shore Boulevard West, Etobicoke","3687 Lake Shore Boulevard West, Etobicoke M8W 1P7",Italian,110,43.593298100000005,-79.5378637,"3687 Lake Shore Blvd W, Etobicoke, ON M8W 1P7, Canada",M8W,1
1003,CASUAL DINING,Chinese Halal Restaurant,3.8,38,"Ravel Road, North York","Finch & Leslie Square, 101 Ravel Road, North York M2H 1T1","Xinjiang, Chinese, Asian",30,43.7909862,-79.36714889999998,"149C Ravel Rd, North York, ON M2H 1T1, Canada",M2H,13
1004,CASUAL DINING,3030 Dundas West,3.7,50,"Dundas Street West, The Junction","3030 Dundas Street West, Toronto M6P 1Z3",Bar Food,80,43.665878799999994,-79.4704324,"3030 Dundas St W, Toronto, ON M6P 1Z3, Canada",M6P,7
1005,CASUAL DINING,Khao San Road,3.7,30,Entertainment District,"11 Charlotte Street, Toronto M5V 2H5",Thai,30,43.6463996,-79.3936098,"11 Charlotte St, Toronto, ON M5V 0M6, Canada",M5V,8
1006,FOOD COURT,Sun's Kitchen,3.7,35,"Steeles Avenue East, Markham","Pacific Mall, Second Floor, Food Court, 4300 Steeles Avenue East, Markham L3R 0Y5","Northern Chinese, Chinese, Asian",20,43.8263001,-79.30621590000001,"4300 Steeles Avenue East Kiosk #13B, Centre Court, Markham, ON L3R 0Y5, Canada",L3R,13
1007,CASUAL DINING,Seor Ak San,3.9,54,"Spadina Avenue, Grange Park","357 Spadina Avenue, Toronto M5T 2G3",Korean,30,43.655584000000005,-79.3985383,"357 Spadina Ave, Toronto, ON M5T 2G3, Canada",M5T,8
1008,CASUAL DINING,Pho Mi 99,4.0,71,"Hurontario Street, Mississauga","4557 Hurontario Street, Mississauga L4Z 3M2","Vietnamese, Asian",35,43.606826500000004,-79.64908539999998,"4557 Hurontario St, Mississauga, ON L4Z 3M1, Canada",L4Z,2
1009,CASUAL DINING,Capocaccia,4.0,70,Yonge & St. Clair,"1366 Yonge Street, Toronto",Italian,85,43.68603419999999,-79.3936282,"1366 Yonge St, Toronto, ON M4T 3A7, Canada",M4T,1
1010,CASUAL DINING,Deer Garden Signatures,3.5,39,"Highway 7, Thornhill","550 Highway 7 East, Unit 108-109, Thornhill","Chinese, Asian",30,43.84505559999999,-79.38379739999998,"550 Hwy 7 Unit 108-109, Richmond Hill, ON L4B 3Z4, Canada",L4B,2
1011,CASUAL DINING,Soonturn Bahn Thai,4.0,69,"Lakeshore Road East, Oakville","210 Lakeshore Road East, Oakville L6J 1H8","Thai, Asian",75,43.4457007,-79.6673106,"210 Lakeshore Rd E, Oakville, ON L6J 1H8, Canada",L6J,2
1012,CASUAL DINING,Rally Sports Bar,4.0,55,"O'connor Drive, Bermondsey","1660 O'Connor Drive, Toronto M4A 2R4","American, BBQ",65,43.717348,-79.30557999999998,"1660 O'Connor Dr, North York, ON M4A 1W4, Canada",M4A,14
1013,CASUAL DINING,New City Restaurant,3.8,48,"Kennedy Road, Markham","New Kennedy Square, 8362 Kennedy Road, Markham L3R 0W4",Hong Kong Style,35,43.8601178,-79.30444909999999,"8360 Kennedy Rd, Unionville, ON L3R 9W4, Canada",L3R,8
1014,QUICK BITES,Mama's Boys Burgers,4.0,46,"Danforth Road, Scarborough","480 Danforth Road, Scarborough M1K 1C7","Burger, Canadian",25,43.70862460000001,-79.2676998,"480 Danforth Rd, Scarborough, ON M1K 1C6, Canada",M1K,8
1015,CASUAL DINING,Thai Noodle,4.1,65,"Vaughan Road, Hillcrest","62 Vaughan Road, Toronto",Thai,35,43.6824618,-79.41993659999999,"62 Vaughan Rd, Toronto, ON M6G 2N4, Canada",M6G,8
1016,CASUAL DINING,Suko Thai,4.0,60,"Winston Park Drive, Oakville","Oakville Entertainment Centre, 2055 Winston Park Drive, Oakville","Thai, Asian",50,43.511053499999996,-79.66877509999998,"2075 Winston Park Dr, Oakville, ON L6H 6P5, Canada",L6H,2
1017,CASUAL DINING,Pogue Mahone,3.6,65,Downtown Yonge,"College Park, 777 Bay Street, Toronto M5G 2C8","Irish, Bar Food",60,43.6608339,-79.38412640000001,"777 Bay Street. Lower Level, Toronto, ON M5G 2C8, Canada",M5G,14
1018,CASUAL DINING,A La Kitchen,3.7,60,"Fairburn Drive, Markham","First Markham Centre, Unit 18 - 19, 11 Fairburn Drive, Markham L6G 0A5","Shanghai, Chinese, Asian",35,43.8478479,-79.34814890000001,"First Markham Centre, 11 Fairburn Dr Unit 18, Markham, ON L6G 1A6, Canada",L6G,13
1019,CASUAL DINING,Antica Osteria,4.1,50,"Mayfield Road, Caledon","3088 Mayfield Road, Caledon L6Z 4R5",Italian,70,43.736321999999994,-79.822778,"3088 Mayfield Rd, Brampton, ON L6Z 0E3, Canada",L6Z,1
1020,CASUAL DINING,Ted's Restaurant,3.7,66,"404 Old Kingston Road, Scarborough","404 Old Kingston Road, Scarborough M1C 1B6",American,55,43.7845234,-79.16927749999998,"404 Old Kingston Rd, Scarborough, ON M1C 1B6, Canada",M1C,14
1021,CASUAL DINING,Dayali,2.9,51,"Warden Avenue, Markham",20 Gibson Drive L3R 8B5,"Northern Chinese, Chinese, Asian",40,43.824567200000004,-79.3265393,"20 Gibson Dr, Markham, ON L3R 4N3, Canada",L3R,13
1022,CASUAL DINING,Ferraro 502,4.1,74,"Eglinton Avenue West, Forest Hill","502 Eglinton Avenue West, Toronto M5N 1B1","Italian, Pizza",55,43.70379260000001,-79.4132906,"502 Eglinton Ave W, Toronto, ON M5N 1A5, Canada",M5N,1
1023,QUICK BITES,New York Subs and Burritos,3.9,79,"Queen Street West, Fashion District","520 Queen Street West, Toronto M5V 2B7","Mexican, Fast Food",20,43.64778080000001,-79.40185240000001,"520 Queen St W, Toronto, ON M5V 2B3, Canada",M5V,11
1024,CASUAL DINING,The Rushton,3.9,80,"Rushton Road, Forest Hill","740 St. Clair Avenue West, Toronto",Canadian,100,43.6815029,-79.4275468,"740 St Clair Ave W, Toronto, ON M6C 1B3, Canada",M6C,9
1025,CASUAL DINING,The West Hill Pizza & Wings,4.1,73,"Kingston Road, Scarborough","4637 Kingston Road, Unit 1, Scarborough","Italian, Tapas, Fusion",30,43.77456289999999,-79.17720990000001,"1-4637 Kingston Rd, Scarborough, ON M1E 2P8, Canada",M1E,1
1026,QUICK BITES,Fresh Burger,4.0,56,Richmond Hill,"9206 Leslie Street, Richmond Hill",Fast Food,25,43.86131229999999,-79.38757659999999,"9206 Leslie St, Richmond Hill, ON L4B 2N8, Canada",L4B,3
1027,BAR,Madison Avenue Pub,3.6,78,"Madison Avenue, The Annex","14 Madison Avenue, Toronto M5R 2S1",Bar Food,50,43.667838700000004,-79.4033257,"14 Madison Ave, Toronto, ON M5R 2S1, Canada",M5R,7
1028,QUICK BITES,Rifca's Mediterranean Kitchen,4.2,72,"Yonge Street, Richmond Hill","8950 Yonge Street, Richmond Hill L4C 6Z7",Mediterranean,35,43.84569339999999,-79.43179649999998,"8950 Yonge St, Richmond Hill, ON L4C 6V5, Canada",L4C,8
1029,CASUAL DINING,Si Andiamo Pasta Plus,4.1,51,"Queen Street South, Mississauga","135 Queen Street S, Mississauga L5M 1K9",Italian,55,43.583367700000004,-79.715627,"135 Queen St S, Mississauga, ON L5M 1K9, Canada",L5M,1
1030,CASUAL DINING,Maki My Way,3.4,30,"King Street West, Entertainment District","293 King Street West, Toronto M5V 1J5","Sushi, Japanese",30,43.6463565,-79.3900436,"293 King St W, Toronto, ON M5V 1J5, Canada",M5V,4
1031,CASUAL DINING,Folco's Ristorante,4.2,60,"Main Street Markham North, Markham","42 Main Street, Markham",Italian,75,43.87551920000001,-79.26045739999998,"42 Main St N, Markham, ON L3P 1X5, Canada",L3P,1
1032,BAR,Black Bull Tavern,3.5,71,"Queen Street West, Grange Park","298 Queen Street West, Toronto M5V 2A1",Bar Food,45,43.6496336,-79.3933071,"298 Queen St W, Toronto, ON M5V 2A1, Canada",M5V,7
1033,CASUAL DINING,Black Angus Steak House,4.1,72,"Bloor Street West, Etobicoke","3277 Bloor Street West, Etobicoke",Steak,100,43.6455965,-79.5184055,"3277 Bloor St W, Etobicoke, ON M8X 1E2, Canada",M8X,8
1034,CASUAL DINING,Pasqualino,4.2,60,"Main Street East, Milton","248 Main Street East, Milton","Seafood, Italian",60,43.5135528,-79.88231420000002,"248 Main St E, Milton, ON L9T 1N8, Canada",L9T,8
1035,CASUAL DINING,Diwan,3.5,19,"Wynford Drive, North York","77 Wynford Drive, North York","Middle Eastern, Turkish, Fusion",100,43.72524540000001,-79.3321048,"77 Wynford Dr, Toronto, ON M3C 1K1, Canada",M3C,8
1036,QUICK BITES,The Pie Guyz,3.9,45,"North Park Drive, Brampton","2120 North Park Drive, Unit 12, Brampton L6S 0C9",African,15,43.750799799999996,-79.72671070000001,"12-2120 N Park Dr, Brampton, ON L6S 0C9, Canada",L6S,8
1037,QUICK BITES,Buddha Pie,3.9,57,"Annette Street, Bloor West Village","514 Annette Street, Toronto M6P 1S1",Pizza,20,43.6602773,-79.47979939999998,"514 Annette St, Toronto, ON M6P 1S3, Canada",M6P,5
1038,QUICK BITES,Brasas Churrasqueria Rostisserie & Grill,4.0,55,"Burnhamthorpe Road West, Mississauga","2385 Burnhamthorpe Road West, Mississauga L5L 6A4","Portuguese, Grill",30,43.543001399999994,-79.6919978,"2385 Burnhamthorpe Rd W, Mississauga, ON L5L 3M5, Canada",L5L,8
1039,QUICK BITES,Fire Pit,4.1,73,"Hurontario Street, Mississauga","6020 Hurontario Street, Mississauga L5R 4B3","Burger, Fast Food",25,43.6262561,-79.68024849999998,"6020 Hurontario St, Mississauga, ON L5R 4B3, Canada",L5R,8
1040,CASUAL DINING,Antonino's,4.4,58,"Rutherford Road, Vaughan","1801 Rutherford Road, Vaughan","Pizza, Italian",40,43.8402,-79.49270990000001,"1801 Rutherford Rd, Concord, ON L4K 5K6, Canada",L4K,5
1041,CASUAL DINING,Woods Restaurant & Bar,3.9,33,"Colborne Street, St. Lawrence","45 Colborne Street, Toronto",Canadian,90,43.648996999999994,-79.37509539999998,"45 Colborne St, Toronto, ON M5E 1E3, Canada",M5E,9
1042,CASUAL DINING,Chutney's,2.8,77,"Bloor Street West, Etobicoke","3077 Bloor Street West, Etobicoke",Indian,50,43.6465726,-79.51393990000001,"3077 Bloor St W, Etobicoke, ON M8X 1C7, Canada",M8X,10
1043,CASUAL DINING,Hana-bi Japanese Restaurant,3.8,49,"Highway 7, Markham","First Markham Place, 3235 Hwy 7 E, Markham L3R 3P3","Sushi, Japanese, Asian",30,43.848365,-79.34879000000001,"3235 Hwy7, E, Unit 18, Markham, ON L3R 3P3, Canada",L3R,4
1044,CASUAL DINING,Fishbone Bistro,4.0,46,Whitchurch-Stouffville,"6146 Main Street, Whitchurch-Stouffville","Seafood, Portuguese",80,43.970643200000005,-79.25095160000002,"6146 Main St, Whitchurch-Stouffville, ON L4A 4H8, Canada",L4A,8
1045,QUICK BITES,Señor Burrito,4.0,47,Mississauga,2155 Leanne Boulevard L5K 2K8,Mexican,20,43.525943299999994,-79.65205259999998,"2155 Leanne Blvd, Mississauga, ON L5K 2L6, Canada",L5K,11
1046,CASUAL DINING,Shangrila,3.9,36,"Queen Street West, Parkdale","1600 Queen Street West, Toronto M6R 1A8","Tibetan, Asian Fusion, Asian",40,43.639785700000004,-79.4416219,"1600 Queen St W, Toronto, ON M6R 1A8, Canada",M6R,2
1047,CASUAL DINING,Thai Shan Inn,3.7,47,"Dufferin Street, York","2404 Dufferin Street, Toronto","Thai, Asian",40,43.6969059,-79.45120440000001,"2404 Dufferin St, York, ON M6E 3S8, Canada",M6E,2
1048,CASUAL DINING,Congee Time,3.6,59,"Yonge Street, North York","Newtonbrook Plaza, 5817 Yonge Street, North York M2M","Cantonese, Chinese, Asian",40,43.7867016,-79.41676609999998,"5915 Yonge St, North York, ON M2M 3T9, Canada",M2M,13
1049,QUICK BITES,Falafel World,4.2,63,"Bloor Street West, Bloor West Village","2396 Bloor Street West, Toronto M6S 1P5",Middle Eastern,20,43.64984219999999,-79.4827706,"2396 Bloor St W, Toronto, ON M6S 1P5, Canada",M6S,8
1050,CASUAL DINING,Fukui Sushi,4.1,41,"Bayview Avenue, Davisville Village","1612 Bayview Avenue, Toronto","Sushi, Japanese, Asian",55,43.706283299999996,-79.3756412,"1612 Bayview Ave, Toronto, ON M4G 3B7, Canada",M4G,4
1051,CASUAL DINING,The Perfect Kitchen,4.0,55,"Ridgeway Drive, Mississauga","3075 Ridgeway Drive, Unit 1 L5L 3M6","Cantonese, Chinese, Asian",30,43.5197876,-79.6898497,"1-3075 Ridgeway Dr, Mississauga, ON L5L 5X8, Canada",L5L,13
1052,CASUAL DINING,The Chefs' House,3.8,48,"King Street East, St. Lawrence","215 King Street East, Toronto M5A 3W8",Canadian,90,43.6508508,-79.36914909999999,"215 King St E, Toronto, ON M5A 1J9, Canada",M5A,9
1053,CASUAL DINING,Thai House,4.1,67,"Main Street East, Milton","181 Main Street East, Milton","Thai, Asian",35,43.5126589,-79.88397640000001,"181 Main St E, Milton, ON L9T 1N7, Canada",L9T,2
1054,CASUAL DINING,Frankie's Diner,3.9,40,"Queen Street West, Trinity Bellwoods","994 Queen Street West, Toronto M6J 1H1","Canadian, Diner",30,43.6443885,-79.4184468,"994 Queen St W, Toronto, ON M6J 1H1, Canada",M6J,9
1055,CASUAL DINING,Monk's Table,4.0,73,"Yonge Street, Summerhill","1276 Yonge Street, Toronto M4T 1W5",Bar Food,70,43.6836035,-79.39249559999998,"1276 Yonge St, Toronto, ON M4T 1W5, Canada",M4T,7
1056,CASUAL DINING,Royal Tea House,2.9,30,"Woodbine Avenue, Markham","10 Apple Creek Boulevard, Unit 3, Markham","Dim Sum, Cantonese, Chinese, Asian",20,43.8572959,-79.3589277,"3-10 Apple Creek Blvd, Markham, ON L3R 5G1, Canada",L3R,13
1057,CASUAL DINING,Canis Restaurant,3.6,13,"Queen Street West, Trinity Bellwoods","746 Queen Street W, Toronto M6J 1E9",Canadian,120,43.6460776,-79.4101161,"746 Queen St W, Toronto, ON M6J 1E9, Canada",M6J,9
1058,CASUAL DINING,Flo's Diner,3.6,71,"Yorkville Avenue, Yorkville","70 Yorkville Avenue, Upper Level, Toronto M5R 1B9","Diner, Canadian",35,43.6715929,-79.3908687,"70 Yorkville Ave, Toronto, ON M5R 1B9, Canada",M5R,8
1059,CASUAL DINING,Kairali,3.8,49,"Kennedy Road, Scarborough","1210 Kennedy Road, Scarborough M1P 2L1","South Indian, Sri Lankan",35,43.754842,-79.27724529999998,"1210 Kennedy Rd, Scarborough, ON M1P 2L1, Canada",M1P,8
1060,QUICK BITES,Leela's Roti & Doubles,3.8,53,"Rathburn Road West, Mississauga","900 Rathburn Road West, Mississauga L5C 4L2",Caribbean,25,43.578298499999995,-79.6612622,"900 Rathburn Rd W, Mississauga, ON L5C 4L3, Canada",L5C,8
1061,CASUAL DINING,Sky Yard - The Drake Hotel,3.4,26,"Queen Street West, Beaconsfield Village","The Drake Hotel, 1150 Queen Street West, Toronto M6J 1J3","Bar Food, European, Asian",65,43.6432306,-79.4246385,"1150 Queen St W, Toronto, ON M6J 1J3, Canada",M6J,7
1062,CASUAL DINING,Ben Thanh,4.0,75,"Millcroft Shopping Centre, Burlington","Millcroft Shopping Centre, 2080 Appleby Line, Unit E1, Burlington","Vietnamese, Thai, Asian",40,43.394329799999994,-79.79200240000002,"2000 Appleby Line, Burlington, ON L7L 6M6, Canada",L7L,2
1063,CASUAL DINING,Hockey Sushi,3.1,75,"Centre Street, Thornhill","1102 Centre Street, Thornhill","Sushi, Japanese, Asian",35,43.8091162,-79.4615551,"1102 Centre St, Thornhill, ON L4J 3M8, Canada",L4J,4
1064,CASUAL DINING,Pepperwood Bistro,3.3,71,"Lakeshore Road East, Burlington","1455 Lakeshore Rd., Burlington L7S2J1",Canadian,80,43.3243626,-79.7973605,"1455 Lakeshore Rd, Burlington, ON L7S 2J1, Canada",L7S,9
1065,CASUAL DINING,Oja,3.9,64,"Yonge Street, Church And Wellesley","689 Yonge Street, Toronto M4Y 2B2","Korean, Japanese, Asian",60,43.6689926,-79.38596940000001,"689 Yonge St, Toronto, ON M4Y 2B2, Canada",M4Y,2
1066,CASUAL DINING,Sea Witch,3.9,52,"Saint Clair Avenue West, Forest Hill","636 Street Clair Avenue West, Toronto M6C 1A9",Fish and Chips,40,43.682207700000006,-79.42397749999998,"636 St Clair Ave W, Toronto, ON M6C 1A9, Canada",M6C,8
1067,CASUAL DINING,The Red Lounge,3.8,71,"Spadina Avenue, Kensington-Chinatown","444 Spadina Avenue, Toronto",Bar Food,25,43.65707039999999,-79.40015279999999,"444 Spadina Ave, Toronto, ON M5T 2G8, Canada",M5T,7
1068,BAKERY,Kostas Bakery,3.5,15,"Ellesmere Road, Scarborough","265 Ellesmere Road, Scarborough",Bakery,15,43.7605162,-79.30157229999998,"265 Ellesmere Rd, Scarborough, ON M1R 4E4, Canada",M1R,0
1069,CASUAL DINING,That's Italian Ristorante,4.1,60,"Tall Grass Trail, Woodbridge","2 Tall Grass Trail, Unit 4-5, Vaughan L4L 3Y9",Italian,112,43.78228789999999,-79.57373309999998,"2 Tall Grass Trail Unit 4-5, Woodbridge, ON L4L 3Y9, Canada",L4L,1
1070,QUICK BITES,Four Brothers Pizza,3.3,75,"2828 Kingsway Drive, Oakville","2828 Kingsway Dr, Oakville L6J6X7","Pizza, Fast Food",30,43.500100200000006,-79.6609563,"2828 Kingsway Dr, Oakville, ON L6J 7M2, Canada",L6J,5
1071,CASUAL DINING,La Hacienda,3.4,64,"Queen Street West, Fashion District","640 Queen Street West, Toronto M6J 1E6",Mexican,55,43.6469271,-79.4061574,"640 Queen St W, Toronto, ON M6J 1E4, Canada",M6J,11
1072,BAR,Paddingtons Pump,3.9,51,"Front Street East, St. Lawrence","St. Lawrence Market, 91 Front Street East, Toronto M5E 1C2","Bar Food, Burger",30,43.648774200000005,-79.3718233,"91 Front St E, Toronto, ON M5E 1C2, Canada",M5E,7
1073,BAR,Black Dog Pub,3.9,55,"Island Road, Scarborough","87 Island Road, Scarborough M1C 3P2",Bar Food,60,43.797625700000005,-79.13922070000001,"87 Island Rd, Scarborough, ON M1C 2P6, Canada",M1C,7
1074,CASUAL DINING,China Gourmet,4.2,57,"York Mills Road, North York","877 York Mills Road, North York M3B 1Y5","Chinese, Asian",25,43.755074900000004,-79.3483818,"877 York Mills Rd, North York, ON M3B 1Y5, Canada",M3B,2
1075,QUICK BITES,Ginger,3.6,63,"Church Street, Church And Wellesley","546 Church Street, Toronto",Vietnamese,30,43.665380299999995,-79.3810491,"546 Church St, Toronto, ON M4Y 2E1, Canada",M4Y,8
1076,CASUAL DINING,Cuba's Latin Restaurant,4.0,59,"Lakeshore Road West, Oakville","2444 Lakeshore Road W, Oakville L6L 1H7",Cuban,30,43.394456,-79.71127659999999,"2444 Lakeshore Rd W, Oakville, ON L6L 1H7, Canada",L6L,8
1077,BAKERY,Agincourt Bakery,3.9,38,"Pharmacy Avenue, Scarborough",3059 Pharmacy Avenue M1W 2H1,"Bakery, Italian, Desserts",20,43.7959378,-79.3260705,"3059 Pharmacy Ave, Scarborough, ON M1W 2H1, Canada",M1W,0
1078,CASUAL DINING,Babu,3.9,64,"Mccowan Road, Markham","Williamstown Plaza, 9590 McCowan Road, Unit 35, Markham L6C 2C5",Indian,20,43.8933036,-79.2913907,"35-9590 McCowan Rd, Markham, ON L3P 8M1, Canada",L3P,10
1079,CASUAL DINING,Cafe Mirage Grill & Lounge,3.6,57,"William Kitchen Road, Scarborough","26 William Kitchen Road, Scarborough M1P 2Y4","Fusion, Desserts",45,43.77300169999999,-79.2821553,"26 William Kitchen Rd, Scarborough, ON M1P 5B7, Canada",M1P,8
1080,CASUAL DINING,Mondello Ristorante,4.2,55,"Queen Street South, Mississauga","127 Queen Street South, Mississauga L5M 1K9",Italian,50,43.5836124,-79.71586440000002,"127 Queen St S, Mississauga, ON L5M 1K9, Canada",L5M,1
1081,CASUAL DINING,Selam Restaurant & Lounge,4.0,42,"Bloor Street West, Christie Pits","812 Bloor Street West, Toronto M6G 1L9","Ethiopian, African",50,43.662795200000005,-79.42273879999998,"812 Bloor St W, Toronto, ON M6G 1L9, Canada",M6G,8
1082,CASUAL DINING,Wok & Roast Chinese BBQ,4.1,50,"Broadview Avenue, Riverside","349 Broadview Avenue, Toronto M4M 2H1","Chinese, Seafood",35,43.66506,-79.35214309999998,"349 Broadview Ave, Toronto, ON M4M 2H1, Canada",M4M,8
1083,CASUAL DINING,KK Sushi,3.7,62,"Dixie Road, Mississauga","Dixie Square, 5130 Matheson Boulevard, Mississauga L4W 1C9","Sushi, Japanese",25,43.6422715,-79.63158100000001,"5130 Matheson Blvd E, Mississauga, ON L4W 1E3, Canada",L4W,4
1084,CASUAL DINING,Lucy's Sea Cove & Oyster Bar,3.8,76,"6905 Millcreek Drive, Mississauga","6905 Millcreek Drive, Unit 8, ON L5N 6A3, ON",Seafood,30,43.5961571,-79.75702969999998,"6905 Millcreek Dr #8, Mississauga, ON L5N 6A3, Canada",L5N,8
1085,CASUAL DINING,Miss Thing's,3.0,28,"Queen Street West, Parkdale","1279 Queen Street West, Toronto M6K 1L6",Asian,70,43.6413574,-79.43181849999998,"1279 Queen St W, Toronto, ON M6K 1L6, Canada",M6K,8
1086,CASUAL DINING,Pho 88,3.2,62,"Yonge Street, North York","5197 Yonge Street, North York M2N 5P7","Vietnamese, Thai",35,43.770547,-79.41286819999998,"5197 Yonge St, North York, ON M2N 5P7, Canada",M2N,8
1087,CASUAL DINING,Sora Sushi,3.8,51,"South Gateway Road, Mississauga","325 Central Parkway West, Unit 41, Mississauga L5B 3X9","Sushi, Japanese, Asian",40,43.583186,-79.63828029999998,"41-325 Central Pkwy W, Mississauga, ON L5B 3X9, Canada",L5B,4
1088,QUICK BITES,Sultan's Wings & Kabob Shop,4.6,49,"Upper Middle Road, Burlington","1500 Upper Middle Rd, Burlington","Mediterranean, Afghan",13,43.3560144,-79.84486070000001,"1500 Upper Middle Rd, Burlington, ON L7P 3P5, Canada",L7P,8
1089,QUICK BITES,Ghazale,4.0,78,"Bloor Street West, The Annex","504 Bloor Street West, Toronto M5S 1Y3",Middle Eastern,20,43.6656201,-79.41043119999998,"504 Bloor St W, Toronto, ON M6P 1A3, Canada",M6P,8
1090,BAKERY,Amadeus Fine Cakes,4.2,52,"Bathurst Street, Thornhill","7380 Bathurst Street, Thornhill",Bakery,20,43.8025343,-79.4488089,"7380 Bathurst St, Thornhill, ON L4J 7M1, Canada",L4J,0
