,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,featured in,Google Addresses,Lat,Lng,Postal Codes
4432,QUICK BITES,Capital Sweet and Samosa,3.6,4,"Thorncliffe Park Drive, Thorncliffe Park","Overlea Plaza, 62 Overlea Boulevard, Toronto",Indian,15,,"62 Overlea Blvd, East York, ON M4H 1C4, Canada",43.7078994,-79.3433474,M4H
4433,QUICK BITES,Sushi & Tea,3.4,6,"Kingston Road, Scarborough","3027 Kingston Road, Scarborough","Sushi, Bubble Tea",30,,"3027 Kingston Rd, Scarborough, ON M1M 1R9, Canada",43.7259036,-79.23037719999998,M1M
4434,QUICK BITES,Ryan's Roti & Jerk,3.4,8,Oshawa,"1051 Simcoe Street North, Oshawa",Caribbean,20,,"1051 Simcoe St N, Oshawa, ON L1G 4W3, Canada",43.9258658,-78.87510859999998,L1G
4435,CAFÉ,Hanabusa Cafe,3.6,6,Kensington-Chinatown,"77 Kensington Ave, Toronto, ON M5T 2K2",Cafe,30,,"77 Kensington Ave, Toronto, ON M5T 2K2, Canada",43.65463219999999,-79.4005588,M5T
4436,CASUAL DINING,Watts,2.8,9,"Eglinton Square, Scarborough","1 Eglinton Square, Unit 45, Scarborough M1L 2K1","American, Canadian",15,,"45-1 Eglinton Square, Scarborough, ON M1L 2K1, Canada",43.724277,-79.30093409999998,M1L
4437,DESSERT PARLOR,Ginger's Cupcakes & Desserts,3.6,7,"Yonge Street, Richmond Hill","10220 Yonge Street, Richmond Hill","Desserts, Bakery",15,,"10220 Yonge St, Richmond Hill, ON L4C 3B6, Canada",43.87662659999999,-79.43867660000002,L4C
4438,CASUAL DINING,Gold Boat Fish and Chips,3.7,6,"Ritson Road South, Oshawa","283 Dean Avenue, Oshawa","American, Fish and Chips",45,,"283 Dean Ave, Oshawa, ON L1H 3E1, Canada",43.8861427,-78.84688489999998,L1H
4439,QUICK BITES,Desi Corner,3.5,4,"Dundas Street East, Mississauga","40 Dundas Street East, Mississauga L5A 1W2",Indian,20,,"40 Dundas St E, Mississauga, ON L5A 1W2, Canada",43.580934899999995,-79.615335,L5A
4440,BAKERY,Patisserie Gateau,3.5,5,"Highway 7, Markham","3229 Highway 7, Unit B8, Markham L3R 3P3","Bakery, Chinese",10,,"3229 Hwy 7 B8, Markham, ON L3R 3P3, Canada",43.8482833,-79.3501248,L3R
4441,BAR,Ram In The Rye,2.8,9,Garden District,"63 Gould Street, Toronto M5B 1E9",Bar Food,45,,"63 Gould St, Toronto, ON M5B 1E9, Canada",43.6579084,-79.3780668,M5B
